plant_id,site_code,hor_pos,depth_treatment,tile_id,plant_no,binomial_code,trait_tdmc,trait_thickness,trait_STA,trait_SBA,trait_SAP,trait_float,dry_weight_g_daily_change
VCG3,V,C,-28,VCG,3,fu_sp,0.3138333333333334,0.32833333333333337,3649.044078597981,3940.6990179087225,26.370347343353924,0,0.24567548164430328
VCG2,V,C,-28,VCG,2,fu_sp,NA,NA,NA,NA,NA,0,NA
VCG1,V,C,-28,VCG,1,fu_sp,0.3352631578947368,0.32333333333333336,3224.2543171114603,4688.799999999999,13.805956354127805,0,-0.8353435026777978
VCH8,V,C,-40,VCH,8,fu_se,0.3388888888888889,0.35333333333333333,3786.935687263556,3965.9359190556497,62.04269174510565,0,0.4744623128254097
VCH6,V,C,-40,VCH,6,fu_se,0.354375,0.31666666666666665,3781.0646143979475,3911.2115418042763,68.10633627909664,0,0.20118126310821424
VCH5,V,C,-40,VCH,5,fu_se,0.32310344827586207,0.3833333333333333,3371.411419423692,3537.201934300484,60.59147905727781,0,0.5777408523033368
VCH4,V,C,-40,VCH,4,fu_se,NA,NA,NA,NA,NA,0,NA
VCH3,V,C,-40,VCH,3,fu_se,0.31328947368421056,0.3416666666666667,3607.832843343133,NA,53.368186279991555,0,0.462645514367518
VCH2,V,C,-40,VCH,2,fu_se,0.3544709897610921,0.3616666666666667,3503.2447525515117,3494.969564718043,53.9956518190385,0,0.6363956584064335
VCH1,V,C,-40,VCH,1,fu_se,NA,NA,NA,NA,NA,0,NA
VDE9,V,D,-5,VDE,9,fu_se,0.2855,0.13166666666666663,5580.91068301226,5628.373382624768,40.12010726560828,0,-1.3197497493780455
VDE8,V,D,-5,VDE,8,fu_se,NA,NA,NA,NA,NA,0,NA
VDE7,V,D,-5,VDE,7,fu_se,0.2978947368421052,NA,5060.247349823323,6347.398843930638,25.093527953249165,0,-1.5543894046159248
VDE6,V,D,-5,VDE,6,fu_se,0.2822857142857142,0.15166666666666667,5673.785425101216,6808.273381294964,24.3156255557628,0,-1.5037029369942656
VDE5,V,D,-5,VDE,5,fu_se,0.28599999999999987,0.15833333333333333,5376.4568764568785,6670.461538461543,27.89671020803096,0,-1.6300343991333293
VDE4,V,D,-5,VDE,4,fu_se,0.3125,NA,4441.5999999999995,5736.619718309864,26.860183841315912,0,-1.7110466653490803
VDE3,V,D,-5,VDE,3,fu_se,0.27818181818181803,NA,5885.294117647062,7274.55621301775,20.7090453301442,0,-1.7131611433600014
VDE2,V,D,-5,VDE,2,fu_se,NA,NA,NA,NA,NA,0,NA
VDE1,V,D,-5,VDE,1,fu_se,0.3139285714285716,0.11666666666666668,5366.325369738336,6543.410852713173,23.57368463137694,0,-1.6569393858484107
VDF9,V,D,-12,VDF,9,as_no,0.3041558441558441,1.425,1662.2046683746087,NA,16.354167468949043,19.58882433228956,3.328448342673496
VDF8,V,D,-12,VDF,8,as_no,0.319078947368421,1.24,2121.360824742268,NA,14.222107950673395,19.468805937380377,0.9630071148489413
VDF7,V,D,-12,VDF,7,as_no,0.3331496062992126,1.565,1588.1115575514063,NA,18.9489031333809,15.315666383371651,0.7104099143242646
VDF6,V,D,-12,VDF,6,as_no,0.30490706319702604,1.2916666666666667,1846.5740063399169,NA,15.298956742385673,39.06779725502917,1.2054716555278748
VDF5,V,D,-12,VDF,5,as_no,NA,NA,NA,NA,NA,0,NA
VDF4,V,D,-12,VDF,4,as_no,0.33851190476190474,1.6783333333333337,1450.6593986284508,NA,14.426861918393685,34.087781022949564,0.6308073788016937
VDF3,V,D,-12,VDF,3,as_no,0.30401129943502825,1.231666666666667,1795.0938487270025,NA,17.1251079250207,46.45890670917328,0.8863045522481513
VDF2,V,D,-12,VDF,2,as_no,0.30251063829787234,1.6083333333333334,1512.6881417920947,NA,15.071399840508356,29.3020870564112,0.7690791859440882
VDF1,V,D,-12,VDF,1,as_no,0.29568181818181816,1.2416666666666667,1893.04381245196,NA,15.704981730607766,38.53944561974873,1.0229236011453078
VDH9,V,D,-40,VDH,9,fu_ve,0.2996825396825397,0.27666666666666667,3307.909604519774,5117.146776406035,23.2999180473634,39.048044281907025,0.9747485846200502
VDH8,V,D,-40,VDH,8,fu_ve,0.37311111111111117,0.30666666666666664,2702.422076632916,2839.486754966887,28.90073143026996,0,0.6581535928681587
VDH7,V,D,-40,VDH,7,fu_ve,0.3226515151515152,0.26666666666666666,3336.663536041324,4097.894736842105,33.790142713797245,22.86672276620887,1.866584140495958
VDH6,V,D,-40,VDH,6,fu_ve,NA,NA,NA,NA,NA,0,NA
VDH5,V,D,-40,VDH,5,fu_ve,0.3073461538461538,0.26,2982.4677762482797,4213.77345048682,27.739123350171095,50.82531576224358,1.4568539520018997
VDH4,V,D,-40,VDH,4,fu_ve,0.29046388888888885,0.3566666666666667,2497.5757170044085,3825.5092297899428,24.04377822909551,36.265700920914014,1.7662999160403814
VDH3,V,D,-40,VDH,3,fu_ve,0.3253333333333333,0.3,3688.7636612021865,4553.008233058898,28.602488255202402,41.01428369003506,1.530792886552212
VDH2,V,D,-40,VDH,2,fu_ve,NA,NA,NA,NA,NA,0,NA
VDH1,V,D,-40,VDH,1,fu_ve,0.2735725298202572,0.205,3708.386927418296,4900.204498977505,28.311332268517866,46.66990719305777,1.4502062685610204
VDG9,V,D,-28,VDG,9,as_no,0.3527111111111111,2.1233333333333335,1215.8644153225807,NA,15.197563123020394,18.579311392197702,1.0071841585163914
VDG7,V,D,-28,VDG,7,as_no,0.3179295154185022,1.4366666666666663,1506.3461271996675,NA,16.94819337026049,33.95375183317221,1.135594594331839
VDG6,V,D,-28,VDG,6,as_no,0.3485152838427948,1.54,1378.7370003758929,NA,18.08323048530574,0,1.1290300545739196
VDG5,V,D,-28,VDG,5,as_no,0.3163366336633664,1.25,1725.6494522691708,NA,17.93327207526611,0,1.0656132723587273
VDG4,V,D,-28,VDG,4,as_no,0.31975000000000003,1.4633333333333334,1742.09538702111,NA,16.808640969468733,31.440489418255936,1.0497599808984746
VDG2,V,D,-28,VDG,2,as_no,0.3032692307692308,1.4216666666666666,1985.0982878883958,NA,13.08033861384484,0,1.4777197214384534
VDG1,V,D,-28,VDG,1,as_no,NA,NA,NA,NA,NA,0,NA
WDE9,W,D,-5,WDE,9,fu_se,NA,NA,NA,NA,NA,0,NA
WDE8,W,D,-5,WDE,8,fu_se,NA,NA,NA,NA,NA,0,NA
WDE7,W,D,-5,WDE,7,fu_se,NA,NA,NA,NA,NA,0,NA
WDE6,W,D,-5,WDE,6,fu_se,0.29222222222222216,0.2866666666666667,4530.101394169836,5097.9464285714275,39.90588051402861,0,-1.2117819560552032
WDE5,W,D,-5,WDE,5,fu_se,NA,NA,NA,NA,NA,0,NA
WDE4,W,D,-5,WDE,4,fu_se,NA,NA,NA,NA,NA,0,NA
WDE3,W,D,-5,WDE,3,fu_se,NA,NA,NA,NA,NA,0,NA
WDE2,W,D,-5,WDE,2,fu_se,0.2633333333333334,NA,2569.1983122362863,NA,18.870672823627856,0,-1.637998920029168
WDE1,W,D,-5,WDE,1,fu_se,NA,NA,NA,NA,NA,0,NA
WCF9,W,C,-12,WCF,9,fu_se,0.27229508196721314,0.36833333333333335,4152.01685731487,5260.393258426967,29.798477345984672,0,-0.7580911020396236
WCF8,W,C,-12,WCF,8,fu_se,NA,NA,NA,NA,NA,0,NA
WCF6,W,C,-12,WCF,6,fu_se,NA,NA,NA,NA,NA,0,NA
WCF5,W,C,-12,WCF,5,fu_se,NA,NA,NA,NA,NA,0,NA
WCF4,W,C,-12,WCF,4,fu_se,NA,NA,NA,NA,NA,0,NA
WCF1,W,C,-12,WCF,1,fu_se,0.3211538461538461,0.42166666666666663,4400.359281437126,4916.043307086615,36.15654090649662,0,-0.9768182262651542
WCF7,W,C,-12,WCF,7,fu_se,0.32639999999999997,0.38333333333333336,3493.658088235294,3824.979044425817,52.571331098929974,0,-0.5303221293682253
WCF3,W,C,-12,WCF,3,fu_se,0.33530612244897956,0.36333333333333334,3770.84601339014,3992.673107890499,44.13315097377156,0,-0.9166339175563558
WDH9,W,D,-40,WDH,9,fu_se,0.3183842794759826,0.425,3270.717322726649,3431.0743801652893,47.768596696814,0,0.7033679946546328
WDH8,W,D,-40,WDH,8,fu_se,NA,NA,NA,NA,NA,0,NA
WDH7,W,D,-40,WDH,7,fu_se,NA,NA,NA,NA,NA,0,NA
WDH6,W,D,-40,WDH,6,fu_se,NA,NA,NA,NA,NA,0,NA
WDH5,W,D,-40,WDH,5,fu_se,NA,NA,NA,NA,NA,0,NA
WDH4,W,D,-40,WDH,4,fu_se,0.3063157894736842,0.39166666666666666,3826.975945017182,4160.798816568047,58.96175634894023,0,1.1882872414458943
WDH3,W,D,-40,WDH,3,fu_se,NA,NA,NA,NA,NA,0,NA
WDH2,W,D,-40,WDH,2,fu_se,NA,NA,NA,NA,NA,0,NA
WDH1,W,D,-40,WDH,1,fu_se,NA,NA,NA,NA,NA,0,NA
WDG9,W,D,-28,WDG,9,fu_se,NA,NA,NA,NA,NA,0,NA
WDG8,W,D,-28,WDG,8,fu_se,0.3338805970149254,0.29833333333333334,3459.991059454627,3870.4813805631243,57.546468401487,0,-0.43899730692325095
WDG7,W,D,-28,WDG,7,fu_se,NA,NA,NA,NA,NA,0,NA
WDG6,W,D,-28,WDG,6,fu_se,NA,NA,NA,NA,NA,0,NA
WDG5,W,D,-28,WDG,5,fu_se,NA,NA,NA,NA,NA,0,NA
WDG4,W,D,-28,WDG,4,fu_se,NA,NA,NA,NA,NA,0,NA
WDG3,W,D,-28,WDG,3,fu_se,NA,NA,NA,NA,NA,0,NA
WDG2,W,D,-28,WDG,2,fu_se,NA,NA,NA,NA,NA,0,NA
WDG1,W,D,-28,WDG,1,fu_se,NA,NA,NA,NA,NA,0,NA
ZBE9,Z,B,-5,ZBE,9,as_no,NA,NA,NA,NA,NA,0,NA
ZBE8,Z,B,-5,ZBE,8,as_no,0.341875,1.6983333333333333,1736.430114675087,NA,13.700431805992832,0,0.8338499839196525
ZBE7,Z,B,-5,ZBE,7,as_no,0.30560538116591923,1.1,1868.393250183419,NA,14.350453512694749,34.83610600684934,0.8517803415050001
ZBE6,Z,B,-5,ZBE,6,as_no,0.3004489795918367,1.1716666666666666,1865.113435674501,NA,15.404769171386766,45.2350646595408,1.1006680201709487
ZBE4,Z,B,-5,ZBE,4,as_no,0.3318803418803419,1.3616666666666666,1794.154004635591,NA,18.501443371247834,25.606312925834292,0.5876524908790453
ZBE3,Z,B,-5,ZBE,3,as_no,0.3167307692307692,1.385,1737.2191863995145,NA,18.467337494271717,24.499463292475596,1.0839308918842805
ZBE1,Z,B,-5,ZBE,1,as_no,0.32670391061452514,1.29,1728.1121751025992,NA,15.566156163695705,16.004502109395883,0.6259833316522618
ZAG9,Z,A,-28,ZAG,9,as_no,0.30704845814977977,1.805,1549.3974175035867,NA,14.452599093709766,25.96208563081378,0.89826734709876
ZAG8,Z,A,-28,ZAG,8,as_no,NA,NA,NA,NA,NA,0,NA
ZAG7,Z,A,-28,ZAG,7,as_no,0.29254032258064516,1.475,1913.7422467263955,NA,12.92291597247172,34.35327597309307,0.8937575489508136
ZAG6,Z,A,-28,ZAG,6,as_no,0.338974358974359,1.545,1870.0832072617245,NA,13.446750108101591,21.545970796178104,1.138683757609114
ZAG5,Z,A,-28,ZAG,5,as_no,NA,NA,NA,NA,NA,0,NA
